Equipo_A        , Puerto_A    , IP_o_Modo_A      , Equipo_B             , Puerto_B    , IP_o_Modo_B      , Tipo_Enlace      , Observacion
ARC-FSJ-CORE01  , Fa0/23      , trunk            , ARC-FSJ-CORE02       , Fa0/23      , trunk            , Core interconnect, Troncal L2/L3 para redundancia
ARC-FSJ-CORE01  , Fa0/24      , trunk            , ARC-FSJ-CORE02       , Fa0/24      , trunk            , Core interconnect, Segundo enlace para EtherChannel/backup
ARC-FSJ-CORE01  , Gi0/1       , 172.20.255.2/30  , ARC-FSJ-FW01         , Eth0/1      , 172.20.255.1/30  , Enlace interno   , Core primario a FW primario
ARC-FSJ-CORE02  , Gi0/1       , 172.20.255.6/30  , ARC-FSJ-FW02         , Eth0/1      , 172.20.255.5/30  , Enlace interno   , Core secundario a FW secundario
ARC-FSJ-FW01    , Eth0/0      , 172.20.254.1/29  , ARC-FSJ-WAN-SW01     , Gi0/2       , access           , Enlace perimetral, FW primario a WAN switch primario
ARC-FSJ-FW02    , Eth0/0      , 172.20.254.5/29  , ARC-FSJ-WAN-SW02     , Gi0/2       , access           , Enlace perimetral, FW secundario a WAN switch secundario
ARC-FSJ-EDGE01  , Gi0/0       , 172.20.254.2/29  , ARC-FSJ-WAN-SW01     , Gi0/1       , access           , Enlace perimetral, Edge primario a WAN switch primario
ARC-FSJ-EDGE02  , Gi0/0       , 172.20.254.6/29  , ARC-FSJ-WAN-SW02     , Gi0/1       , access           , Enlace perimetral, Edge secundario a WAN switch secundario
ARC-FSJ-WAN-SW01, Fa0/24      , trunk            , ARC-FSJ-WAN-SW02     , Fa0/24      , trunk            , WAN interconnect , Interconexion L2 entre switches WAN para redundancia y trafico inter-sitio
ARC-FSJ-WAN-SW01, Fa0/23      , trunk            , ARC-FSJ-WAN-SW02     , Fa0/23      , trunk            , WAN interconnect , Interconexion L2 entre switches WAN para redundancia y trafico inter-sitio
