Dispositivo_1,Dispositivo_2
ARC-ATT-AP01,ARC-ATT-SW01
ARC-ATT-RT01,ARC-ATT-SW01
ARC-ATT-RT01,ARC-FSJ-EDGE01
ARC-FSJ-ACC01,ARC-FSJ-AP01
ARC-FSJ-ACC01,ARC-FSJ-CORE01
ARC-FSJ-CORE01,ARC-FSJ-CORE02
ARC-FSJ-CORE01,ARC-FSJ-FW01
ARC-FSJ-CORE02,ARC-FSJ-FW02
ARC-FSJ-EDGE01,ARC-FSJ-FW01
ARC-FSJ-EDGE01,ARC-SUN-RT01
ARC-FSJ-EDGE01,ISP-A-ARC01
ARC-FSJ-EDGE01,ISP-B-ARC01
ARC-FSJ-EDGE02,ARC-FSJ-FW02
ARC-FSJ-EDGE02,ARC-GDA-RT01
ARC-FSJ-EDGE02,ARC-SSN-RT01
ARC-FSJ-EDGE02,ISP-A-ARC01
ARC-FSJ-EDGE02,ISP-B-ARC01
ARC-FSJ-FW01,SHL-FSJ-FW01
ARC-FSJ-FW02,SHL-FSJ-FW02
ARC-GDA-RT01,ARC-GDA-SW01
ARC-SSN-RT01,ARC-SSN-SW01
ARC-SUN-RT01,ARC-SUN-SW01
ISP-A-ARC01,ISP-A-SHL01
ISP-A-SHL01,SHL-FSJ-EDGE01
ISP-A-SHL01,SHL-FSJ-EDGE02
ISP-B-ARC01,ISP-B-SHL01
ISP-B-SHL01,SHL-FSJ-EDGE01
ISP-B-SHL01,SHL-FSJ-EDGE02
SHL-DAW-ACC01,SHL-DAW-CORE01
SHL-DAW-CORE01,SHL-DAW-FW01
SHL-DAW-EDGE01,SHL-DAW-FW01
SHL-DAW-EDGE01,SHL-FSJ-EDGE01
SHL-FSJ-ACC01,SHL-FSJ-AP01
SHL-FSJ-ACC01,SHL-FSJ-CORE01
SHL-FSJ-CORE01,SHL-FSJ-CORE02
SHL-FSJ-CORE01,SHL-FSJ-FW01
SHL-FSJ-CORE02,SHL-FSJ-FW02
SHL-FSJ-EDGE01,SHL-FSJ-FW01
SHL-FSJ-EDGE02,SHL-FSJ-FW02
ARC-FSJ-CORE02,ARC-FSJ-ACC01
ARC-FSJ-CORE01,ARC-FSJ-ACC02
ARC-FSJ-CORE02,ARC-FSJ-ACC02
ARC-FSJ-CORE01,ARC-FSJ-ACC03
ARC-FSJ-CORE02,ARC-FSJ-ACC03
ARC-FSJ-CORE01,ARC-FSJ-SRV-SW01
ARC-FSJ-CORE02,ARC-FSJ-SRV-SW01
ARC-FSJ-SRV-SW01,ARC-FSJ-SRV-DNSDHCP01
ARC-FSJ-SRV-SW01,ARC-FSJ-SRV-MAIL01
ARC-FSJ-SRV-SW01,ARC-FSJ-WLC01
ARC-FSJ-ACC02,ARC-FSJ-PC01
ARC-FSJ-ACC02,ARC-FSJ-PC02
ARC-FSJ-ACC03,ARC-FSJ-OT-PLC01
SHL-FSJ-CORE02,SHL-FSJ-ACC01
SHL-FSJ-CORE01,SHL-FSJ-ACC02
SHL-FSJ-CORE02,SHL-FSJ-ACC02
SHL-FSJ-CORE01,SHL-FSJ-ACC03
SHL-FSJ-CORE02,SHL-FSJ-ACC03
SHL-FSJ-CORE01,SHL-FSJ-SRV-SW01
SHL-FSJ-CORE02,SHL-FSJ-SRV-SW01
SHL-FSJ-SRV-SW01,SHL-FSJ-SRV-DNSDHCP01
SHL-FSJ-SRV-SW01,SHL-FSJ-SRV-MAIL01
SHL-FSJ-SRV-SW01,SHL-FSJ-WLC01
SHL-FSJ-ACC02,SHL-FSJ-PC01
SHL-FSJ-ACC03,SHL-FSJ-OT-PLC01
