Bloque_IP      , Uso                           , Descripcion
10.255.0.0/24  , Loopbacks routers de sitio    , Identidad estable (Loopback99) para routers remotos; separado de subredes de gateway para evitar conflicto
10.0.255.0/24  , Gestion routers ISP           , Administracion de equipo ISP simulado
10.10.255.0/24 , Gestion ARC hub               , Administracion de equipo en hub ARC Fort St. John
10.11.255.0/24 , Gestion ARC Attachie          , Administracion de equipo en sitio Attachie
10.12.255.0/24 , Gestion ARC Sunrise           , Administracion de equipo en sitio Sunrise
10.13.255.0/24 , Gestion ARC Greater Dawson    , Administracion de equipo en sitio Greater Dawson
10.14.255.0/24 , Gestion ARC Septimus/Sundown  , Administracion de equipo en sitio Septimus/Sundown
10.20.255.0/24 , Gestion Shell oficina primaria, Administracion de equipo Shell Fort St. John
10.21.255.0/24 , Gestion Shell sitio DR        , Administracion de equipo Shell Dawson Creek
172.20.0.0/16  , Transitos ARC                 , "Enlaces routed internos ARC (hub, sites, FW, core, edge)"
172.21.0.0/16  , Transitos Shell               , "Enlaces routed internos Shell (office, DR, FW, core, edge)"
203.0.113.0/24 , WAN publica simulada ISP-A    , Enlaces BGP por proveedor A
198.51.100.0/24, WAN publica simulada ISP-B    , Enlaces BGP por proveedor B
100.64.0.0/30  , Backbone ISP A simulado       , Transito entre router lado ARC y lado Shell de cada ISP
100.64.0.4/30  , Backbone ISP B simulado       , Transito entre router lado ARC y lado Shell de cada ISP
10.11.10.0/24  , ARC Attachie                  , Sitio en Attachie
10.12.10.0/24  , ARC Sunrise                   , Sitio en Sunrise
10.13.10.0/24  , ARC Greater Dawson            , Sitio en Greater Dawson
10.14.10.0/24  , ARC Septimus/Sundown          , Sitio en Septimus/Sundown
10.10.10.0/24  , ARC FSJ VLAN IT               , Usuarios IT (alambricos) ARC Fort St. John; HRSP VIP .1; DHCP por servidor
10.10.20.0/24  , ARC FSJ VLAN OT               , Equipos OT (alambricos) ARC Fort St. John; separado de Enterprise; HRSP VIP .1
10.10.30.0/24  , ARC FSJ VLAN Servers          , Servicios (DNS/DHCP/Email/WLC) ARC Fort St. John; HRSP VIP .1
10.10.40.0/24  , ARC FSJ VLAN WiFi             , Clientes WiFi ARC Fort St. John; SSID corporativo; HRSP VIP .1; DHCP
10.20.10.0/24  , Shell FSJ VLAN IT             , Usuarios IT (alambricos) Shell Fort St. John; HRSP VIP .1; DHCP
10.20.20.0/24  , Shell FSJ VLAN OT             , Equipos OT (alambricos) Shell Fort St. John; separado de Enterprise; HRSP VIP .1
10.20.30.0/24  , Shell FSJ VLAN Servers        , Servicios (DNS/DHCP/Email/WLC) Shell Fort St. John; HRSP VIP .1
10.20.40.0/24  , Shell FSJ VLAN WiFi           , Clientes WiFi Shell Fort St. John; SSID corporativo; HRSP VIP .1; DHCP
