Dispositivo   , Interfaz  , Proposito                     , IP            , Mascara        , Red_Mgmt
ARC-FSJ-CORE01, Loopback0 , Router-ID OSPF/HSRP tracking  , 10.10.255.101 , 255.255.255.255, 10.10.255.0/24
ARC-FSJ-CORE02, Loopback0 , Router-ID OSPF/HSRP tracking  , 10.10.255.102 , 255.255.255.255, 10.10.255.0/24
ARC-FSJ-EDGE01, Loopback99, Router-ID OSPF                , 10.10.255.1   , 255.255.255.255, 10.10.255.0/24
ARC-FSJ-EDGE02, Loopback99, Router-ID OSPF                , 10.10.255.2   , 255.255.255.255, 10.10.255.0/24
ARC-ATT-RT01  , Loopback99, Router-ID OSPF                , 10.255.0.11   , 255.255.255.255, 10.255.0.0/24
ARC-SUN-RT01  , Loopback99, Router-ID OSPF                , 10.255.0.12   , 255.255.255.255, 10.255.0.0/24
ARC-GDA-RT01  , Loopback99, Router-ID OSPF                , 10.255.0.13   , 255.255.255.255, 10.255.0.0/24
ARC-SSN-RT01  , Loopback99, Router-ID OSPF                , 10.255.0.14   , 255.255.255.255, 10.255.0.0/24
SHL-FSJ-CORE01, Loopback0 , Router-ID OSPF/HSRP tracking  , 10.20.255.101 , 255.255.255.255, 10.20.255.0/24
SHL-FSJ-CORE02, Loopback0 , Router-ID OSPF/HSRP tracking  , 10.20.255.102 , 255.255.255.255, 10.20.255.0/24
SHL-FSJ-EDGE01, Loopback99, Router-ID OSPF                , 10.20.255.1   , 255.255.255.255, 10.20.255.0/24
SHL-FSJ-EDGE02, Loopback99, Router-ID OSPF                , 10.20.255.2   , 255.255.255.255, 10.20.255.0/24
SHL-DAW-EDGE01, Loopback99, Router-ID OSPF                , 10.21.255.1   , 255.255.255.255, 10.21.255.0/24
ISP-A-ARC01   , Loopback0 , Router-ID OSPF/MP-BGP VPNv4 PE, 10.0.255.101  , 255.255.255.255, 10.0.255.0/24
ISP-A-SHL01   , Loopback0 , Router-ID OSPF/MP-BGP VPNv4 PE, 10.0.255.102  , 255.255.255.255, 10.0.255.0/24
ISP-B-ARC01   , Loopback0 , Router-ID OSPF/MP-BGP VPNv4 PE, 10.0.255.105  , 255.255.255.255, 10.0.255.0/24
ISP-B-SHL01   , Loopback0 , Router-ID OSPF/MP-BGP VPNv4 PE, 10.0.255.106  , 255.255.255.255, 10.0.255.0/24
