Hostname             , Empresa, Rol                      , Ubicacion             , Marca  , Plataforma             , Modelo      , IP_Administracion, Mascara_Mgmt   , GW_Mgmt       , Notas
ARC-FSJ-EDGE01       , ARC    , Hub regional / WAN edge  , "Fort St. John, BC"   , Cisco  , ISR G2                 , 2911        , -                , -              , -             , "BGP edge primario, WAN a ISP-A e ISP-B; mgmt ver Interfaces_Logicas"
ARC-FSJ-EDGE02       , ARC    , Hub regional / WAN edge  , "Fort St. John, BC"   , Cisco  , ISR G2                 , 2911        , -                , -              , -             , "BGP edge secundario, redundancia WAN; mgmt ver Interfaces_Logicas"
ARC-FSJ-WAN-SW01     , ARC    , WAN aggregation switch   , "Fort St. John, BC"   , Cisco  , Catalyst               , 2960-24TT   , 10.10.255.35     , 255.255.255.0  , 10.10.255.254 , Switch de agregacion WAN primario; interconecta edges y firewalls para trafico inter-sitio
ARC-FSJ-WAN-SW02     , ARC    , WAN aggregation switch   , "Fort St. John, BC"   , Cisco  , Catalyst               , 2960-24TT   , 10.10.255.36     , 255.255.255.0  , 10.10.255.254 , Switch de agregacion WAN secundario; redundancia L2 entre edges y firewalls
ARC-FSJ-FW01         , ARC    , Firewall perimetral      , "Fort St. John, BC"   , Cisco  , ASA                    , 5505        , 10.10.255.11     , 255.255.255.0  , 10.10.255.254 , Termina VPN IPSec primaria
ARC-FSJ-FW02         , ARC    , Firewall perimetral      , "Fort St. John, BC"   , Cisco  , ASA                    , 5505        , 10.10.255.12     , 255.255.255.0  , 10.10.255.254 , Termina VPN IPSec secundaria / HA logica
ARC-FSJ-CORE01       , ARC    , Core L3                  , "Fort St. John, BC"   , Cisco  , Catalyst               , 3560-24PS   , 10.10.255.21     , 255.255.255.0  , 10.10.255.254 , "HRSP gateway redundante, distribucion primaria"
ARC-FSJ-CORE02       , ARC    , Core L3                  , "Fort St. John, BC"   , Cisco  , Catalyst               , 3560-24PS   , 10.10.255.22     , 255.255.255.0  , 10.10.255.254 , "HRSP gateway redundante, distribucion secundaria"
ARC-FSJ-SRV-SW01     , ARC    , Server / Services switch , "Fort St. John, BC"   , Cisco  , Catalyst               , 2960-24TT   , 10.10.255.34     , 255.255.255.0  , 10.10.255.254 , Switch de servicios (DNS/DHCP/Email/WLC); conectado al core; trunk para VLANs de servicios
ARC-FSJ-ACC01        , ARC    , Access switch            , "Fort St. John, BC"   , Cisco  , Catalyst               , 2960-24TT   , 10.10.255.31     , 255.255.255.0  , 10.10.255.254 , Acceso usuarios/OT-DMZ local
