Sitio  , VLAN, Nombre , Subred        , Protocolos     , HRSP_VIP     , CORE01_IP   , CORE02_IP   , DHCP_Clientes        , Servicios
ARC-FSJ,   10, IT     , 10.10.10.0/24 , HRSP; DHCP     , 10.10.10.1   , 10.10.10.2  , 10.10.10.3  , ARC-FSJ-SRV-DNSDHCP01, Usuarios IT
ARC-FSJ,   20, OT     , 10.10.20.0/24 , HRSP; DHCP     , 10.10.20.1   , 10.10.20.2  , 10.10.20.3  , DHCP o estatico      , OT/PLC
ARC-FSJ,   30, SERVERS, 10.10.30.0/24 , HRSP; DHCP; WLC, 10.10.30.1   , 10.10.30.2  , 10.10.30.3  , No                   , DNS/DHCP/Email/WLC
ARC-FSJ,   40, WIFI   , 10.10.40.0/24 , HRSP; DHCP; WLC, 10.10.40.1   , 10.10.40.2  , 10.10.40.3  , ARC-FSJ-SRV-DNSDHCP01, Clientes WiFi
ARC-FSJ,   99, MGMT   , 10.255.10.0/24, HRSP           , 10.255.10.254, 10.255.10.21, 10.255.10.22, No                   , Administracion
SHL-FSJ,   10, IT     , 10.20.10.0/24 , HRSP; DHCP     , 10.20.10.1   , 10.20.10.2  , 10.20.10.3  , SHL-FSJ-SRV-DNSDHCP01, Usuarios IT
SHL-FSJ,   20, OT     , 10.20.20.0/24 , HRSP; DHCP     , 10.20.20.1   , 10.20.20.2  , 10.20.20.3  , DHCP o estatico      , OT/PLC
SHL-FSJ,   30, SERVERS, 10.20.30.0/24 , HRSP; DHCP; WLC, 10.20.30.1   , 10.20.30.2  , 10.20.30.3  , No                   , DNS/DHCP/Email/WLC
SHL-FSJ,   40, WIFI   , 10.20.40.0/24 , HRSP; DHCP; WLC, 10.20.40.1   , 10.20.40.2  , 10.20.40.3  , SHL-FSJ-SRV-DNSDHCP01, Clientes WiFi
SHL-FSJ,   99, MGMT   , 10.255.20.0/24, HRSP           , 10.255.20.254, 10.255.20.21, 10.255.20.22, No                   , Administracion
