Router        , OSPF Process, Router-ID   , Area, Interface , IP Address   , Subnet, Redistribution
ARC-FSJ-EDGE01,            1, 10.10.255.1 ,    0, Loopback99, 10.10.255.1  , /32   , redistribute static subnets
ARC-FSJ-EDGE01,            1, 10.10.255.1 ,    0, Gi0/0     , 210.10.0.2   , /28   , 
ARC-FSJ-EDGE01,            1, 10.10.255.1 ,   11, Se0/0/0   , 172.20.1.1   , /30   , 
ARC-FSJ-EDGE01,            1, 10.10.255.1 ,   12, Se0/0/1   , 172.20.1.5   , /30   , 
ARC-FSJ-EDGE02,            1, 10.10.255.2 ,    0, Loopback99, 10.10.255.2  , /32   , redistribute static subnets
ARC-FSJ-EDGE02,            1, 10.10.255.2 ,    0, Gi0/0     , 210.10.0.6   , /28   , 
ARC-FSJ-EDGE02,            1, 10.10.255.2 ,   13, Se0/0/0   , 172.20.1.9   , /30   , 
ARC-FSJ-EDGE02,            1, 10.10.255.2 ,   14, Se0/0/1   , 172.20.1.13  , /30   , 
ARC-FSJ-CORE01,            1, 10.10.255.21,    0, Fa0/23    , 172.20.255.9 , /30   , redistribute connected subnets
ARC-FSJ-CORE01,            1, 10.10.255.21,    0, Fa0/24    , 172.20.255.13, /30   , 
ARC-FSJ-CORE02,            1, 10.10.255.22,    0, Fa0/23    , 172.20.255.10, /30   , redistribute connected subnets
ARC-FSJ-CORE02,            1, 10.10.255.22,    0, Fa0/24    , 172.20.255.14, /30   , 
ARC-ATT-RT01  ,            1, 10.255.0.11 ,   11, Loopback99, 10.255.0.11  , /32   , 
ARC-ATT-RT01  ,            1, 10.255.0.11 ,   11, Gi0/1     , 10.11.10.1   , /24   , 
ARC-ATT-RT01  ,            1, 10.255.0.11 ,   11, Se0/0/0   , 172.20.1.2   , /30   , 
ARC-SUN-RT01  ,            1, 10.255.0.12 ,   12, Loopback99, 10.255.0.12  , /32   , 
ARC-SUN-RT01  ,            1, 10.255.0.12 ,   12, Gi0/1     , 10.12.10.1   , /24   , 
ARC-SUN-RT01  ,            1, 10.255.0.12 ,   12, Se0/0/0   , 172.20.1.6   , /30   , 
ARC-GDA-RT01  ,            1, 10.255.0.13 ,   13, Loopback99, 10.255.0.13  , /32   , 
ARC-GDA-RT01  ,            1, 10.255.0.13 ,   13, Gi0/1     , 10.13.10.1   , /24   , 
ARC-GDA-RT01  ,            1, 10.255.0.13 ,   13, Se0/0/0   , 172.20.1.10  , /30   , 
ARC-SSN-RT01  ,            1, 10.255.0.14 ,   14, Loopback99, 10.255.0.14  , /32   , 
ARC-SSN-RT01  ,            1, 10.255.0.14 ,   14, Gi0/1     , 10.14.10.1   , /24   , 
ARC-SSN-RT01  ,            1, 10.255.0.14 ,   14, Se0/0/0   , 172.20.1.14  , /30   , 
SHL-FSJ-EDGE01,            1, 10.20.255.1 ,    0, Loopback99, 10.20.255.1  , /32   , redistribute static subnets
SHL-FSJ-EDGE01,            1, 10.20.255.1 ,    0, Gi0/0     , 210.20.0.2   , /28   , 
SHL-FSJ-EDGE01,            1, 10.20.255.1 ,   21, Se0/0/0   , 172.21.1.1   , /30   , 
SHL-FSJ-EDGE02,            1, 10.20.255.2 ,    0, Loopback99, 10.20.255.2  , /32   , redistribute static subnets
SHL-FSJ-EDGE02,            1, 10.20.255.2 ,    0, Gi0/0     , 210.20.0.6   , /28   , 
SHL-DAW-EDGE01,            1, 10.21.255.1 ,   21, Loopback99, 10.21.255.1  , /32   , redistribute static subnets
SHL-DAW-EDGE01,            1, 10.21.255.1 ,   21, Gi0/0     , 172.21.254.2 , /30   , 
SHL-DAW-EDGE01,            1, 10.21.255.1 ,   21, Se0/0/0   , 172.21.1.2   , /30   , 
SHL-FSJ-CORE01,            1, 10.20.255.21,    0, Fa0/23    , 172.21.255.9 , /30   , redistribute connected subnets
SHL-FSJ-CORE01,            1, 10.20.255.21,    0, Fa0/24    , 172.21.255.13, /30   , 
SHL-FSJ-CORE02,            1, 10.20.255.22,    0, Fa0/23    , 172.21.255.10, /30   , redistribute connected subnets
SHL-FSJ-CORE02,            1, 10.20.255.22,    0, Fa0/24    , 172.21.255.14, /30   , 
ISP-A-01      ,            1, 10.0.255.102,    0, Loopback0 , 10.0.255.102 , /32   , redistribute bgp 65001 subnets
ISP-A-01      ,            1, 10.0.255.102,    0, Se0/0/0   , 100.64.0.5   , /30   , 
ISP-A-01      ,            1, 10.0.255.102,    0, Se0/0/1   , 100.64.0.1   , /30   , 
ISP-A-ARC01   ,            1, 10.0.255.101,    0, Loopback0 , 10.0.255.101 , /32   , redistribute bgp 65001 subnets + connected
ISP-A-ARC01   ,            1, 10.0.255.101,    0, Se0/0/0   , 100.64.0.2   , /30   , 
ISP-A-SHL01   ,            1, 10.0.255.103,    0, Loopback0 , 10.0.255.103 , /32   , redistribute bgp 65001 subnets + connected
ISP-A-SHL01   ,            1, 10.0.255.103,    0, Se0/0/0   , 100.64.0.6   , /30   , 
ISP-B-01      ,            1, 10.0.255.106,    0, Loopback0 , 10.0.255.106 , /32   , 
ISP-B-01      ,            1, 10.0.255.106,    0, Se0/0/0   , 200.64.0.5   , /30   , 
ISP-B-01      ,            1, 10.0.255.106,    0, Se0/0/1   , 200.64.0.1   , /30   , 
ISP-B-ARC01   ,            1, 10.0.255.105,    0, Loopback0 , 10.0.255.105 , /32   , redistribute bgp 65002 subnets + connected
ISP-B-ARC01   ,            1, 10.0.255.105,    0, Se0/0/0   , 200.64.0.2   , /30   , 
ISP-B-SHL01   ,            1, 10.0.255.107,    0, Loopback0 , 10.0.255.107 , /32   , redistribute bgp 65002 subnets + connected
ISP-B-SHL01   ,            1, 10.0.255.107,    0, Se0/0/0   , 200.64.0.6   , /30   , 
