Router        , Local AS, Neighbor IP , Remote AS, Networks Advertised                                                       , Description
ARC-FSJ-EDGE01,    65100, 203.0.113.1 ,     65001, 210.10.0.0/28                                                             , To ISP-A-ARC01
ARC-FSJ-EDGE01,    65100, 198.51.100.1,     65002, 210.10.0.0/28                                                             , To ISP-B-ARC01
ARC-FSJ-EDGE02,    65100, 203.0.113.5 ,     65001, 210.10.0.0/28                                                             , To ISP-A-ARC01
ARC-FSJ-EDGE02,    65100, 198.51.100.5,     65002, 210.10.0.0/28                                                             , To ISP-B-ARC01
SHL-FSJ-EDGE01,    65200, 203.0.114.1 ,     65001, 210.20.0.0/28                                                             , To ISP-A-SHL01
SHL-FSJ-EDGE01,    65200, 198.51.101.1,     65002, 210.20.0.0/28                                                             , To ISP-B-SHL01
SHL-FSJ-EDGE02,    65200, 203.0.114.5 ,     65001, 210.20.0.0/28                                                             , To ISP-A-SHL01
SHL-FSJ-EDGE02,    65200, 198.51.101.5,     65002, 210.20.0.0/28                                                             , To ISP-B-SHL01
ISP-A-01      ,    65001, 203.0.115.2 ,     65300, "210.10.0.0/28, 210.20.0.0/28"                                            , To INT-CA-EDGE01
ISP-A-ARC01   ,    65001, 203.0.113.2 ,     65100, "203.0.114.0/30, 203.0.114.4/30, 210.20.0.0/28, 8.8.8.0/24, 3.96.124.0/24", To ARC-FSJ-EDGE01
ISP-A-ARC01   ,    65001, 203.0.113.6 ,     65100, "203.0.114.0/30, 203.0.114.4/30, 210.20.0.0/28, 8.8.8.0/24, 3.96.124.0/24", To ARC-FSJ-EDGE02
ISP-A-SHL01   ,    65001, 203.0.114.2 ,     65200, "203.0.113.0/30, 203.0.113.4/30, 210.10.0.0/28, 8.8.8.0/24, 3.96.124.0/24", To SHL-FSJ-EDGE01
ISP-A-SHL01   ,    65001, 203.0.114.6 ,     65200, "203.0.113.0/30, 203.0.113.4/30, 210.10.0.0/28, 8.8.8.0/24, 3.96.124.0/24", To SHL-FSJ-EDGE02
ISP-B-ARC01   ,    65002, 198.51.100.2,     65100, "198.51.101.0/30, 198.51.101.4/30, 210.20.0.0/28"                         , To ARC-FSJ-EDGE01
ISP-B-ARC01   ,    65002, 198.51.100.6,     65100, "198.51.101.0/30, 198.51.101.4/30, 210.20.0.0/28"                         , To ARC-FSJ-EDGE02
ISP-B-SHL01   ,    65002, 198.51.101.2,     65200, "198.51.100.0/30, 198.51.100.4/30, 210.10.0.0/28"                         , To SHL-FSJ-EDGE01
ISP-B-SHL01   ,    65002, 198.51.101.6,     65200, "198.51.100.0/30, 198.51.100.4/30, 210.10.0.0/28"                         , To SHL-FSJ-EDGE02
INT-CA-EDGE01 ,    65300, 203.0.115.1 ,     65001, "3.96.124.0/24, 8.8.8.0/24"                                               , To ISP-A-01
