Organization, Site        , VLAN ID, Name/Description, Subnet        , Gateway (Virtual IP), Purpose
Arctic      , FSJ         , 10     , IT              , 10.10.10.0/24 , 10.10.10.1          , IT department
Arctic      , FSJ         , 20     , OT              , 10.10.20.0/24 , 10.10.20.1          , Operational Technology
Arctic      , FSJ         , 30     , Servers         , 10.10.30.0/24 , 10.10.30.1          , Server farm
Arctic      , FSJ         , 40     , WiFi            , 10.10.40.0/24 , 10.10.40.1          , Wireless clients
Arctic      , FSJ         , 99     , Management      , 10.10.255.0/24, 10.10.255.254       , Network management
Arctic      , Attachie    , N/A    , LAN             , 10.11.10.0/24 , 10.11.10.1          , Site LAN
Arctic      , Attachie    , 99     , Management      , 10.11.255.0/24, 10.11.255.254       , Site management
Arctic      , Sunrise     , N/A    , LAN             , 10.12.10.0/24 , 10.12.10.1          , Site LAN
Arctic      , Sunrise     , 99     , Management      , 10.12.255.0/24, 10.12.255.254       , Site management
Arctic      , GDA         , N/A    , LAN             , 10.13.10.0/24 , 10.13.10.1          , Site LAN
Arctic      , GDA         , 99     , Management      , 10.13.255.0/24, 10.13.255.254       , Site management
Arctic      , SSN         , N/A    , LAN             , 10.14.10.0/24 , 10.14.10.1          , Site LAN
Arctic      , SSN         , 99     , Management      , 10.14.255.0/24, 10.14.255.254       , Site management
Shell       , FSJ         , 10     , Shell IT        , 10.20.10.0/24 , 10.20.10.1          , IT department
Shell       , FSJ         , 20     , Shell OT        , 10.20.20.0/24 , 10.20.20.1          , Operational Technology
Shell       , FSJ         , 30     , Shell Servers   , 10.20.30.0/24 , 10.20.30.1          , Server farm
Shell       , FSJ         , 40     , Shell WiFi      , 10.20.40.0/24 , 10.20.40.1          , Wireless clients
Shell       , FSJ         , 99     , Shell Management, 10.20.255.0/24, 10.20.255.254       , Network management
Shell       , Dawson Creek, N/A    , LAN             , 10.21.10.0/24 , 10.21.10.1          , Site LAN
