Device        , Interface      , IP Address   , Subnet, OSPF Area, Description
ARC-FSJ-EDGE01, Loopback99     , 10.10.255.1  , /32   , 0        , Router-ID
ARC-FSJ-EDGE01, Gi0/0          , 210.10.0.2   , /28   , 0        , To FW01 outside segment
ARC-FSJ-EDGE01, Gi0/1          , 203.0.113.2  , /30   , N/A (BGP), To ISP-A-ARC01
ARC-FSJ-EDGE01, Gi0/2          , 198.51.100.2 , /30   , N/A (BGP), To ISP-B-ARC01
ARC-FSJ-EDGE01, Se0/0/0        , 172.20.1.1   , /30   , 11       , To ARC-ATT-RT01
ARC-FSJ-EDGE01, Se0/0/1        , 172.20.1.5   , /30   , 12       , To ARC-SUN-RT01
ARC-FSJ-EDGE02, Loopback99     , 10.10.255.2  , /32   , 0        , Router-ID
ARC-FSJ-EDGE02, Gi0/0          , 210.10.0.6   , /28   , 0        , To FW02 outside segment
ARC-FSJ-EDGE02, Gi0/1          , 203.0.113.6  , /30   , N/A (BGP), To ISP-A-ARC01
ARC-FSJ-EDGE02, Gi0/2          , 198.51.100.6 , /30   , N/A (BGP), To ISP-B-ARC01
ARC-FSJ-EDGE02, Se0/0/0        , 172.20.1.9   , /30   , 13       , To ARC-GDA-RT01
ARC-FSJ-EDGE02, Se0/0/1        , 172.20.1.13  , /30   , 14       , To ARC-SSN-RT01
ARC-FSJ-FW01  , Vlan1 (inside) , 172.20.255.1 , /30   , N/A      , To CORE01
ARC-FSJ-FW01  , Vlan2 (outside), 210.10.0.1   , /28   , N/A      , To EDGE01 segment
ARC-FSJ-FW02  , Vlan1 (inside) , 172.20.255.5 , /30   , N/A      , To CORE02
ARC-FSJ-FW02  , Vlan2 (outside), 210.10.0.5   , /28   , N/A      , To EDGE02 segment
ARC-FSJ-CORE01, Fa0/23         , 172.20.255.9 , /30   , 0        , Interconnect to CORE02
ARC-FSJ-CORE01, Fa0/24         , 172.20.255.13, /30   , 0        , Interconnect to CORE02
ARC-FSJ-CORE01, Gi0/1          , 172.20.255.2 , /30   , N/A      , To FW01 inside
ARC-FSJ-CORE01, Vlan10         , 10.10.10.2   , /24   , N/A      , IT VLAN
ARC-FSJ-CORE01, Vlan20         , 10.10.20.2   , /24   , N/A      , OT VLAN
ARC-FSJ-CORE01, Vlan30         , 10.10.30.2   , /24   , N/A      , Servers VLAN
ARC-FSJ-CORE01, Vlan40         , 10.10.40.2   , /24   , N/A      , WiFi VLAN
ARC-FSJ-CORE01, Vlan99         , 10.10.255.21 , /24   , N/A      , MGMT VLAN
ARC-FSJ-CORE02, Fa0/23         , 172.20.255.10, /30   , 0        , Interconnect to CORE01
ARC-FSJ-CORE02, Fa0/24         , 172.20.255.14, /30   , 0        , Interconnect to CORE01
ARC-FSJ-CORE02, Gi0/1          , 172.20.255.6 , /30   , N/A      , To FW02 inside
ARC-FSJ-CORE02, Vlan10         , 10.10.10.3   , /24   , N/A      , IT VLAN
ARC-FSJ-CORE02, Vlan20         , 10.10.20.3   , /24   , N/A      , OT VLAN
ARC-FSJ-CORE02, Vlan30         , 10.10.30.3   , /24   , N/A      , Servers VLAN
ARC-FSJ-CORE02, Vlan40         , 10.10.40.3   , /24   , N/A      , WiFi VLAN
ARC-FSJ-CORE02, Vlan99         , 10.10.255.22 , /24   , N/A      , MGMT VLAN
ARC-ATT-RT01  , Loopback99     , 10.255.0.11  , /32   , 11       , Router-ID
ARC-ATT-RT01  , Gi0/1          , 10.11.10.1   , /24   , 11       , Site LAN
ARC-ATT-RT01  , Gi0/1.99       , 10.11.255.254, /24   , N/A      , Site MGMT (dot1Q 99)
ARC-ATT-RT01  , Se0/0/0        , 172.20.1.2   , /30   , 11       , WAN to EDGE01
ARC-SUN-RT01  , Loopback99     , 10.255.0.12  , /32   , 12       , Router-ID
ARC-SUN-RT01  , Gi0/1          , 10.12.10.1   , /24   , 12       , Site LAN
ARC-SUN-RT01  , Gi0/1.99       , 10.12.255.254, /24   , N/A      , Site MGMT (dot1Q 99)
ARC-SUN-RT01  , Se0/0/0        , 172.20.1.6   , /30   , 12       , WAN to EDGE01
